id,e,n,lat,lon,elev_m,score,q_h_peak,slope_deg,aspect_deg,class_id
0,2611990.0,1160990.0,46.600066,7.595118,2240.391113,1.891854,564.359863,21.956044,208.698747,5
1,2611070.0,1158450.0,46.577233,7.58305,2445.862122,1.891548,562.570312,27.941828,214.244511,5
2,2610570.0,1157030.0,46.564468,7.576495,2248.791016,1.891222,565.268311,27.400675,200.968139,5
3,2612770.0,1162350.0,46.612286,7.605335,2204.51062,1.887785,559.43634,24.220018,226.036805,5
4,2612310.0,1160430.0,46.595023,7.599279,2294.704956,1.886286,565.468628,27.56797,196.790462,5
5,2611690.0,1159890.0,46.590176,7.591175,2295.192932,1.885284,565.784546,23.635483,203.255697,5
6,2613530.0,1162970.0,46.617848,7.615274,2289.510925,1.885108,566.506836,25.408074,191.96216,5
7,2612650.0,1161310.0,46.602933,7.60374,2337.916321,1.883566,564.635498,20.742994,205.420808,5
8,2615890.0,1165890.0,46.644063,7.646184,2286.400818,1.88353,560.005066,21.561809,221.700345,5
9,2610810.0,1157890.0,46.5722,7.579646,2351.316772,1.880099,559.673828,21.618864,224.829816,5
10,2614430.0,1164630.0,46.632762,7.627075,2383.551025,1.875897,566.602478,21.47712,192.830199,5
11,2613790.0,1163790.0,46.625219,7.618693,2387.006531,1.873019,565.982788,25.814,187.703448,5
12,2613090.0,1162530.0,46.613899,7.609517,2257.231323,1.871997,566.946228,22.710404,187.221738,5
13,2613070.0,1161890.0,46.608142,7.609238,2306.516296,1.865471,556.038391,29.163872,230.877522,5
14,2611490.0,1158750.0,46.579925,7.588537,2291.325989,1.861764,556.092041,20.839445,232.792478,5
15,2614930.0,1164630.0,46.632751,7.633604,2225.150818,1.843934,561.161987,32.355895,192.865781,5
16,2614110.0,1164130.0,46.628271,7.622881,2233.751892,1.841962,565.380432,26.945326,174.851101,5
17,2616290.0,1165970.0,46.644773,7.651412,2328.563049,1.815806,564.358154,28.742983,169.428894,5
18,2613850.0,1161050.0,46.60057,7.619394,1535.221283,1.717427,532.059753,45.738855,201.472325,5
19,2610770.0,1158870.0,46.581016,7.579147,2361.982178,1.687324,549.117737,12.278856,233.07483,5
20,2614130.0,1162790.0,46.616217,7.623101,1962.317444,1.622692,538.879028,44.069985,225.943351,5
21,2615090.0,1163850.0,46.625731,7.635668,1955.898346,1.588264,540.199158,43.540647,212.459003,5
22,2611710.0,1159230.0,46.584239,7.591419,2133.069153,1.520696,418.174072,18.841805,197.430764,4
23,2613890.0,1165190.0,46.637811,7.62004,1823.724182,1.512044,412.096039,24.716753,230.832483,4
24,2613130.0,1158710.0,46.579535,7.609931,1351.937683,1.508884,419.416229,24.069295,175.460487,4
25,2610370.0,1159190.0,46.583901,7.573935,2214.80426,1.504628,527.457703,13.00785,272.604246,5
26,2615930.0,1165050.0,46.636506,7.646678,1815.272064,1.495229,416.632965,23.726406,212.039024,4
27,2616830.0,1165510.0,46.640622,7.658448,1909.75293,1.482109,419.681305,22.879139,182.373485,4
28,2610870.0,1160670.0,46.597207,7.580493,1979.953888,1.473479,409.482147,31.012332,236.011026,4
29,2611570.0,1157690.0,46.570388,7.589554,1789.886841,1.465139,528.409302,46.813064,176.330456,5
30,2613490.0,1160430.0,46.595,7.614678,1581.312073,1.454822,536.308105,44.519148,204.510305,5
31,2611110.0,1161190.0,46.60188,7.583638,1952.393372,1.444234,539.603638,42.832198,233.603842,5
32,2612770.0,1164250.0,46.629377,7.605387,1793.963562,1.434162,411.85376,21.442631,230.508694,4
33,2616490.0,1164490.0,46.631455,7.653971,1645.329926,1.421383,417.384491,16.131701,180.213402,4
34,2615510.0,1163430.0,46.621943,7.641138,1756.319366,1.411887,418.889313,18.831663,183.404523,4
35,2612390.0,1162530.0,46.613912,7.600379,1994.462921,1.408285,404.824615,34.070566,243.702966,4
36,2612570.0,1159670.0,46.588181,7.602651,1769.603149,1.40487,540.202209,42.926366,194.440715,5
37,2612110.0,1158230.0,46.575236,7.596612,1682.720825,1.39651,541.891174,42.047301,176.734549,5
38,2612810.0,1159130.0,46.583319,7.605768,1496.514893,1.391926,536.650574,44.40337,205.78367,5
39,2617290.0,1156710.0,46.56145,7.664127,913.262527,1.390187,418.787079,21.33666,190.758961,4
40,2616030.0,1164250.0,46.629307,7.647956,1468.237366,1.389921,414.344696,32.166223,187.497609,4
41,2615170.0,1161250.0,46.602341,7.636628,1443.892029,1.385446,418.6651,21.911675,164.742718,4
42,2617390.0,1159810.0,46.589333,7.665547,891.254333,1.380919,415.59668,26.240777,216.007413,4
43,2611510.0,1157270.0,46.566611,7.588761,1708.264038,1.374567,540.77771,42.767001,152.428295,5
44,2614450.0,1164010.0,46.627184,7.627317,2033.125397,1.365403,419.084473,24.545465,173.527732,4
45,2610890.0,1160110.0,46.592169,7.580741,1906.65921,1.361226,416.526611,18.860872,207.314846,4
46,2616010.0,1162910.0,46.617254,7.647648,1479.53186,1.3608,418.407318,23.671789,204.690795,4
47,2617190.0,1163910.0,46.62622,7.66309,1504.585815,1.356673,419.715912,22.321185,185.267651,4
48,2615370.0,1160850.0,46.598738,7.639225,1231.187469,1.355831,419.649719,24.961739,174.611284,4
49,2617210.0,1163070.0,46.618663,7.66332,1185.897858,1.354329,418.111145,26.721107,202.339516,4
50,2612130.0,1157210.0,46.566061,7.596846,1441.430939,1.350854,540.542236,42.200023,202.097737,5
51,2617630.0,1165430.0,46.639882,7.668893,1559.811493,1.350385,418.49707,21.933942,160.825231,4
52,2616370.0,1162610.0,46.614546,7.652337,1368.727448,1.339498,419.350494,20.217688,171.527861,4
53,2614970.0,1165530.0,46.640846,7.634156,1754.724579,1.339006,411.922333,22.865513,229.90259,4
54,2610970.0,1159690.0,46.588389,7.581775,1930.47345,1.336853,415.515625,25.472189,213.19399,4
55,2613390.0,1160830.0,46.5986,7.613384,1845.923431,1.335836,419.596497,25.749077,178.041635,4
56,2614610.0,1160650.0,46.596956,7.6293,1142.27832,1.335677,537.603577,43.442057,223.618189,5
57,2614450.0,1160110.0,46.592102,7.627195,1276.348114,1.330915,418.360687,27.269215,170.113342,4
58,2610450.0,1163910.0,46.626359,7.575085,1224.031799,1.322587,409.704071,21.437663,237.678085,4
59,2610610.0,1163510.0,46.622758,7.577165,1291.643829,1.319708,410.438385,29.477498,232.673643,4
